Ürün Adı,Adet,min_date,max_date,date_diff,olumlu_sayi,olumsuz_sayi
Trendyol Curve Koyu Kahverengi Polo Yaka Fitilli Triko Elbise TBBAW23AH00002,172,2022-08-15,2025-03-10,938,158,14
TRENDYOLMİLLA Siyah Düz Bodycone Straplez Detaylı Finike Mini Dokuma Gömlek Elbise TWOSS24EL00751,172,2024-02-16,2025-03-08,386,128,44
TRENDYOLMİLLA Kahverengi Bağlama Detaylı Dokuma Elbise TWOAW20EL1156,172,2022-03-12,2025-02-16,1072,153,19
TRENDYOLMİLLA Siyah Vatkalı Drapeli Fitted/Vücuda Oturan Mini Esnek Örme Kalem Elbise TWOAW24EL00821,172,2023-10-04,2025-03-08,521,154,18
TRENDYOLMİLLA Siyah Sırt Dekolteli Eteği Volanlı Dik Yaka Maxi Boy Esnek Örme Elbise TWOAW24EL00380,172,2023-09-22,2025-03-10,535,160,12
TRENDYOLMİLLA Açık Yeşil Asimetrik Pilise Detaylı Örme Saten Şık Abiye Elbise TPRSS23EL00557,172,2023-04-10,2025-03-08,698,140,32
Trendyol Curve Bordo Dokuma Yırtmaçlı Elbise TBBSS22AH0012,171,2023-01-02,2025-02-08,768,148,23
Trendyol Curve Fuşya Kare Yaka Balon Kollu Dokuma Yırtmaçlı Astarlı Şifon Elbise TBBSS22AH0012,171,2022-04-25,2024-09-12,871,148,23
TRENDYOLMİLLA Siyah A-Kesim Fiyonk Detaylı Dokuma Şık Abiye Elbise TPRSS24EL00105,171,2024-03-21,2024-11-17,241,148,23
TRENDYOLMİLLA Kırmızı Çiçekli Viskon Maxi Dokuma Elbise TWOSS24EL00613,171,2024-03-02,2025-02-25,360,140,31
TRENDYOLMİLLA Leopar Desenli Maxi Dokuma Yırtmaçlı Plaj Elbisesi TBESS22EL0731,171,2022-03-17,2025-03-03,1082,156,15
TRENDYOLMİLLA Lacivert Fitted/Vücuda Oturan Askılı Esnek Maxi Örme Kalem Elbise TWOSS23EL02435,171,2023-10-05,2024-10-27,388,156,15
TRENDYOLMİLLA Mavi Desenli Drapeli Vücuda Oturan Esnek Maxi Tül Kalem Elbise TWOSS23EL01799,171,2023-03-30,2025-03-10,711,148,23
TRENDYOLMİLLA Haki Maxi Dokuma Sırt Dekolteli Keten Karışımlı Plaj Elbisesi TBESS24EL00096,170,2024-05-09,2025-03-07,302,147,23
TRENDYOLMİLLA Siyah A-Kesim Astarlı Dokuma Şifon Kısa Abiye Gece Elbise TPRSS23EL00033,170,2023-03-23,2025-03-01,709,150,20
Trendyol Curve Kırmızı Büyük Beden Astarsız Truvakar Kol Mini/Kısa Boy Dokuma Ceket Elbise TBBAW23AH00042,170,2022-11-02,2025-03-10,859,138,32
TRENDYOLMİLLA Siyah Kayık Yaka Sırt Dekolteli Yırtmaçlı Fitted/Vücuda Oturan Maxi Esnek Örme Elbise TWOAW24EL00824,170,2023-10-02,2025-03-10,525,145,25
TRENDYOLMİLLA Limited Edition Koyu Mavi Düğme Detaylı Halter Yaka Mini Denim Elbise TWOSS23EL01730,170,2023-03-27,2025-02-15,691,149,21
Trendyol Curve Siyah Polo Yaka Fitilli Triko Elbise TBBAW23AH00002,170,2022-10-29,2025-03-10,863,157,13
TRENDYOLMİLLA Kırmızı Vücuda Oturan Korse Detaylı Dokuma Şık Abiye Elbise TPRSS22EL00097,170,2022-10-06,2025-01-18,835,141,29
TRENDYOLMİLLA Ekru Mini Dokuma Bağlamalı Keten Karışımlı Plaj Elbisesi TBESS23EL00103,170,2023-02-24,2025-01-09,685,135,35
Trendyol Curve Mavi Kare Yaka Balon Kollu Dokuma Yırtmaçlı Astarlı Şifon Elbise TBBSS22AH0012,169,2022-05-24,2025-02-05,988,150,19
TRENDYOLMİLLA Mavi Kuşaklı A Kesim Çizgili Mini Dokuma Elbise TWOSS21EL1290,169,2022-04-05,2024-07-31,848,146,23
Trendyol Curve Kırmızı Puantiye Desenli Dokuma Elbise TBBSS22EL1712,169,2022-04-28,2025-02-26,1035,144,25
TRENDYOLMİLLA Siyah Mini Triko Pileli Etek Detaylı Elbise TWOAW24EL00013,169,2023-08-15,2025-03-06,569,139,30
Trendyol Curve Lacivert Dokuma Yakası Detaylı Elbise TBBSS22AH0246,169,2022-03-25,2025-02-18,1061,141,28
TRENDYOLMİLLA Siyah A-Kesim Astarlı Korse Detaylı Biyeli Dokuma Kısa Şık Abiye Elbise TPRSS23EL00251,168,2023-03-07,2025-03-02,726,131,37
TRENDYOLMİLLA Taş Midi Triko Basic Hırkalı Elbise TWOSS23EL00738,168,2023-01-17,2025-02-21,766,134,34
